locations,lat,lng
"Management Office, Unit T2-3A-3 & Unit T2-3A-3A level 3A IOI City Tower Two Lebuh IRC, Ioi Resort, 62502 Putrajaya, Selangor, Malaysia",2.9706561,101.7136778
"3070, Jalan Bakri, 84000 Muar, Johor, Malaysia",2.0476541,102.5956804
"43000, Selangor, Malaysia",2.9221098,101.7329167
"Jalan Seri Putra 1/9, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia",2.887854,101.7920596
"121596, Jalan Gambang, 25150 Kuantan, Pahang, Malaysia",3.7823425,103.2848233
"Kampung Parit Empat, 45400 Sungai Besar, Selangor, Malaysia",3.663678,101.015892
"Taman Kota Masai, 81700 Pasir Gudang, Johor, Malaysia",1.4847707,103.9526562
"u16, 3, Persiaran Elektron, Denai Alam, 40160 Shah Alam, Selangor, Malaysia",3.1593967,101.5130623
"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1174073,101.6780545
"Aman Central, 1, Darul Aman Hwy, Kampung Lubok Peringgi, 05100 Alor Setar, Kedah, Malaysia",6.124969699999999,100.3664572
"23, Jalan Tengah, 11950 Bayan Lepas, Pulau Pinang, Malaysia",5.3197696,100.2844424
"Taman Ungku Tun Aminah, 81300 Skudai, Johor, Malaysia",1.519901,103.6586369
"15050, Jalan Kuala Krai, 16010 Kota Bharu, Kelantan, Malaysia",6.0730053,102.2387659
"Kuala Lumpur Sentral Station, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1344015,101.6864197
"Lot F-74, Tingkat 2, Mentakab Star Mall, No.1, Jalan Star City 1, Star City, 28400 Mentakab, Pahang, Malaysia",3.471256,102.331764
"11, Jalan Baru, 13600 Perai, Pulau Pinang, Malaysia",5.3743018,100.4070852
"2, Jalan Medan Ipoh 1A, Taman Ipoh Timur, 31400 Ipoh, Perak, Malaysia",4.617465699999999,101.1169475
"Jalan Sulaman, 88450 Kota Kinabalu, Sabah, Malaysia",6.0428851,116.1477049
"Lorong Centre Point, Api-api Centre, 88000 Kota Kinabalu, Sabah, Malaysia",5.9780861,116.0711512
"1, Jalan Centre Point, 88000 Kota Kinabalu, Sabah, Malaysia",5.9781469,116.0718643
"82, 84, Jalan SS 15/4d, Ss 15, 47500 Subang Jaya, Selangor, Malaysia",3.0736416,101.590564
"37, Jalan Pinang 18/B, Seksyen 18, 40200 Shah Alam, Selangor, Malaysia",3.0442089,101.5178899
