,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
82,"Jalan Enggang, Taman Keramat, 54200 Kuala Lumpur, Selangor, Malaysia",3.1675495,101.7351893,GEOMETRIC_CENTER,ChIJUZc8R7w3zDERXY-b6exTmJc,"establishment,point_of_interest",54200,Datum Jelatek Mall[69],1,OK
83,"Endah Parade, 1, Jalan 1/149e, Taman Sri Endah, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.063303,101.6951981,ROOFTOP,ChIJg-Gw-o9KzDERlqNBQvsTb-Q,"establishment,point_of_interest,shopping_mall",57000,Endah Parade[70],1,OK
84,"Plaza 63, No. 63, Jalan 3/108C Taman Sungai Besi, Sungai Besi, 57100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.0919555,101.700427,GEOMETRIC_CENTER,ChIJ2VxrJitLzDERulK8ePyHT2M,"establishment,food,grocery_or_supermarket,point_of_interest,store",57100,Plaza 63,1,OK
85,"Jalan Madrasah, Jalan 1/22a, Taman Melati, 53100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.2178436,101.7186877,GEOMETRIC_CENTER,ChIJR-PQ0m84zDERfECwtBmV0Yk,"establishment,point_of_interest,shopping_mall",53100,M3 Mall[71],1,OK
86,"823, Jln Lingkaran Tengah 2, KL Timur, 53100 Kuala Lumpur, Selangor, Malaysia",3.2253685,101.7298059,ROOFTOP,ChIJRf33Eh05zDERKqnpK_diqS4,"establishment,point_of_interest,shopping_mall",53100,KL East Mall[72],1,OK
87,"355, Jln Bandar Melawati, Pusat Bandar Melawati, 53100 Kuala Lumpur, Selangor, Malaysia",3.2113794,101.748677,ROOFTOP,ChIJ8Si1b0o4zDERkLqhHn2rvM0,"establishment,point_of_interest,shopping_mall",53100,Melawati Mall[73],1,OK
88,"Wangsa Maju, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.203764,101.7367351,APPROXIMATE,ChIJjQZnNSU4zDERwFV7RVXgPLc,"political,sublocality,sublocality_level_1",53300,�ON Mall Wangsa Maju[74],1,OK
89,"Jalan Wangsa Perdana 1, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1982958,101.7420546,GEOMETRIC_CENTER,ChIJuRQADUM5zDERefJjZ0VhEEY,"establishment,point_of_interest,shopping_mall",53300,Wangsa Walk Mall[75],1,OK
90,"Financial Park, 87000 Labuan, Wilayah Persekutuan Labuan, Malaysia",5.275694,115.2486421,APPROXIMATE,ChIJGyOescQYIzIRhd8ZgfdWjII,"political,sublocality,sublocality_level_1",87000,Financial Park Labuan[76],1,OK
91,"Bandar Labuan, 87000 Labuan, Labuan Federal Territory, Malaysia",5.2747902,115.2452586,GEOMETRIC_CENTER,ChIJPe04m9sYIzIReKb7ZnYkkzU,"establishment,point_of_interest,shopping_mall",87000,Labuan Times Square[77],1,OK
